# Description of *InferiorConstrictor3_R* muscle bundle. Created on 2015.09.24_09:16:23 PDT. 

points
0, 0.158820, 0.000000, 0.027567, type=FemMarker, attach=pharynx
1, 0.158726, 0.002971, 0.027592, type=FemMarker, attach=pharynx
2, 0.158576, 0.006031, 0.027583, type=FemMarker, attach=pharynx
3, 0.158234, 0.008998, 0.027622, type=FemMarker, attach=pharynx
4, 0.157708, 0.012052, 0.027486, type=FemMarker, attach=pharynx
5, 0.156989, 0.014888, 0.027460, type=FemMarker, attach=pharynx
6, 0.155673, 0.017780, 0.027154, type=FemMarker, attach=pharynx
7, 0.153807, 0.020371, 0.026888, type=FemMarker, attach=pharynx
8, 0.151397, 0.022349, 0.026600, type=FemMarker, attach=pharynx
9, 0.148598, 0.023453, 0.025872, type=FemMarker, attach=pharynx
10, 0.145936, 0.023952, 0.025375, type=FemMarker, attach=pharynx
11, 0.142725, 0.024421, 0.025645, type=FemMarker, attach=pharynx
12, 0.139796, 0.024671, 0.026683, type=FemMarker, attach=pharynx
13, 0.138080, 0.024694, 0.027120, type=FemNode, attach=thyroid
14, 0.159467, 0.000000, 0.024537, type=FemMarker, attach=pharynx
15, 0.159355, 0.003087, 0.024525, type=FemMarker, attach=pharynx
16, 0.159155, 0.006145, 0.024425, type=FemMarker, attach=pharynx
17, 0.158759, 0.009103, 0.024429, type=FemMarker, attach=pharynx
18, 0.158057, 0.012133, 0.024225, type=FemMarker, attach=pharynx
19, 0.157031, 0.015096, 0.024025, type=FemMarker, attach=pharynx
20, 0.155674, 0.017548, 0.023894, type=FemMarker, attach=pharynx
21, 0.153454, 0.019990, 0.023793, type=FemMarker, attach=pharynx
22, 0.150824, 0.021766, 0.023917, type=FemMarker, attach=pharynx
23, 0.147965, 0.022937, 0.024109, type=FemMarker, attach=pharynx
24, 0.145002, 0.023691, 0.024360, type=FemMarker, attach=pharynx
25, 0.141946, 0.024087, 0.024494, type=FemMarker, attach=pharynx
26, 0.139185, 0.024337, 0.025565, type=FemMarker, attach=pharynx
27, 0.138375, 0.024481, 0.026176, type=FemNode, attach=thyroid
28, 0.160068, 0.000000, 0.021424, type=FemMarker, attach=pharynx
29, 0.159961, 0.003090, 0.021273, type=FemMarker, attach=pharynx
30, 0.159689, 0.006156, 0.021167, type=FemMarker, attach=pharynx
31, 0.159235, 0.009026, 0.021092, type=FemMarker, attach=pharynx
32, 0.158330, 0.012055, 0.020749, type=FemMarker, attach=pharynx
33, 0.156958, 0.014871, 0.020462, type=FemMarker, attach=pharynx
34, 0.155028, 0.017390, 0.020318, type=FemMarker, attach=pharynx
35, 0.152715, 0.019443, 0.020617, type=FemMarker, attach=pharynx
36, 0.150311, 0.020899, 0.021007, type=FemMarker, attach=pharynx
37, 0.147501, 0.022036, 0.021465, type=FemMarker, attach=pharynx
38, 0.144640, 0.023050, 0.022515, type=FemMarker, attach=pharynx
39, 0.141967, 0.023880, 0.023973, type=FemMarker, attach=pharynx
40, 0.139138, 0.024253, 0.025092, type=FemNode, attach=thyroid
41, 0.160685, 0.000000, 0.017861, type=FemMarker, attach=pharynx
42, 0.160549, 0.003108, 0.017707, type=FemMarker, attach=pharynx
43, 0.160215, 0.006139, 0.017211, type=FemMarker, attach=pharynx
44, 0.159505, 0.009122, 0.017252, type=FemMarker, attach=pharynx
45, 0.158461, 0.011833, 0.017570, type=FemMarker, attach=pharynx
46, 0.156808, 0.014500, 0.017409, type=FemMarker, attach=pharynx
47, 0.154569, 0.016791, 0.017383, type=FemMarker, attach=pharynx
48, 0.151872, 0.018322, 0.016936, type=FemMarker, attach=pharynx
49, 0.149137, 0.019610, 0.017386, type=FemMarker, attach=pharynx
50, 0.146522, 0.020707, 0.018259, type=FemMarker, attach=pharynx
51, 0.144187, 0.021908, 0.019807, type=FemMarker, attach=pharynx
52, 0.143144, 0.022499, 0.020817, type=FemNode, attach=thyroid

connections
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13
14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27
28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40
41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52

