# Description of *InferiorConstrictor2_R* muscle bundle. Created on 2015.09.24_09:16:23 PDT. 

points
0, 0.151719, 0.000000, 0.053486, type=FemMarker, attach=pharynx
1, 0.151850, 0.002974, 0.053065, type=FemMarker, attach=pharynx
2, 0.151989, 0.005931, 0.052546, type=FemMarker, attach=pharynx
3, 0.152259, 0.008708, 0.051474, type=FemMarker, attach=pharynx
4, 0.152466, 0.011477, 0.050270, type=FemMarker, attach=pharynx
5, 0.152605, 0.014162, 0.048939, type=FemMarker, attach=pharynx
6, 0.152538, 0.016783, 0.047343, type=FemMarker, attach=pharynx
7, 0.152407, 0.019160, 0.045434, type=FemMarker, attach=pharynx
8, 0.151832, 0.021392, 0.043276, type=FemMarker, attach=pharynx
9, 0.151379, 0.022911, 0.040725, type=FemMarker, attach=pharynx
10, 0.150197, 0.024411, 0.038271, type=FemMarker, attach=pharynx
11, 0.148394, 0.025274, 0.035893, type=FemMarker, attach=pharynx
12, 0.146135, 0.025794, 0.033828, type=FemMarker, attach=pharynx
13, 0.143184, 0.026142, 0.033130, type=FemMarker, attach=pharynx
14, 0.140270, 0.026256, 0.033634, type=FemMarker, attach=pharynx
15, 0.138752, 0.026224, 0.034130, type=FemNode, attach=thyroid
16, 0.153574, 0.000000, 0.047712, type=FemMarker, attach=pharynx
17, 0.153595, 0.003006, 0.047593, type=FemMarker, attach=pharynx
18, 0.153764, 0.005907, 0.046939, type=FemMarker, attach=pharynx
19, 0.153931, 0.008765, 0.046069, type=FemMarker, attach=pharynx
20, 0.154097, 0.011581, 0.044937, type=FemMarker, attach=pharynx
21, 0.154143, 0.014298, 0.043697, type=FemMarker, attach=pharynx
22, 0.153927, 0.017133, 0.042408, type=FemMarker, attach=pharynx
23, 0.153551, 0.019616, 0.040845, type=FemMarker, attach=pharynx
24, 0.152734, 0.021795, 0.038669, type=FemMarker, attach=pharynx
25, 0.151696, 0.023279, 0.036100, type=FemMarker, attach=pharynx
26, 0.149390, 0.024737, 0.034711, type=FemMarker, attach=pharynx
27, 0.147409, 0.025387, 0.032450, type=FemMarker, attach=pharynx
28, 0.144733, 0.025700, 0.031313, type=FemMarker, attach=pharynx
29, 0.141627, 0.025919, 0.031713, type=FemMarker, attach=pharynx
30, 0.138782, 0.026002, 0.032838, type=FemMarker, attach=pharynx
31, 0.138458, 0.025979, 0.032929, type=FemNode, attach=thyroid
32, 0.155167, 0.000000, 0.041800, type=FemMarker, attach=pharynx
33, 0.155133, 0.003005, 0.041905, type=FemMarker, attach=pharynx
34, 0.155235, 0.005963, 0.041418, type=FemMarker, attach=pharynx
35, 0.155330, 0.008865, 0.040695, type=FemMarker, attach=pharynx
